"Public Price","Product/Barcode"
"1.18","074198613403"
"1.18","074198613410"
"20.94","074198613489"
"16.8","074198613502"
"45.160000000000004","074198613557"
"22.02","074198613656"
"50.81","074198613663"
"19.06","074198613694"
"19.650000000000002","074198614042"
"44.35","074198614226"
"44.35","074198614240"
"44.35","074198614264"
"27.88","074198614271"
"44.35","074198614295"
"31.29","074198614301"
"44.35","074198614325"
"51.17","074198614363"
"44.35","074198614370"
"30.94","074198614400"
"11.18","074198614424"
"31.29","074198614431"
"1.55","074198614646"
"1.55","074198614653"
"1.55","074198614660"
"1.55","074198614677"
"59.800000000000004","074198615070"
"19.400000000000002","074198615216"
"8.2","074198615223"
"2.9","074198615230"
"8.2","074198615261"
"8.4","074198615308"
"34.300000000000004","074198615612"
"6.4","074198615636"
"5.7","074660506929"
"10.97","076484064548"
"10.97","076484064562"
"10.97","076484064579"
"16.52","076484069345"
"16.52","076484069369"
"16.52","076484069390"
"9.26","076484182044"
"10.97","076484364228"
"10.97","076484364235"
"11.71","076484364310"
"11.71","076484364327"
"11.71","076484364334"
"11.71","076484364341"
"11.71","076484364365"
"11.71","076484364372"
"18.240000000000002","076484369049"
"18.240000000000002","076484369209"
"18.240000000000002","076484369223"
"14.3","076484369247"
"14.3","076484369254"
"14.3","076484369261"
"14.3","076484369285"
"14.3","076484369292"
"18.240000000000002","076484369414"
"6.42","076484510632"
"7.03","076484513022"
"7.7700000000000005","076484513046"
"17.62","076484632273"
"13.8","076484961250"
"15.65","076484961267"
"17.62","076484961274"
"25.03","077234058503"
"35.730000000000004","080605628151"
"30.92","080605628205"
"35.49","081208302004"
"0.0","086011500012"
"0.0","086011501019"
"0.0","086011502016"
"0.0","086011510011"
"0.0","086011511018"
"0.0","086011512015"
"9.120000000000001","097298022166"
"6.04","097298022395"
"3.25","097612840087"
"65.0","1000804"
"14.9","1000805"
"14.9","1000806"
"14.9","1000807"
"14.9","1000808"
"14.9","1000809"
"66.2","RTL"
"33.1","FTTS"
"1.0","101112"
"8.52","10279130001"
"9.61","10279134269"
"10.61","10279138519"
"44.1","RGC1"
"33.1","BGC"
"6.18","1125"
"22.19","122513155"
"1.25","122513158"
"1.0","123321"
"6.53","123456000016"
"7.16","123456000017"
"4.93","123456000018"
"6.97","123456000019"
"10.11","123456000022"
"19.6","123456000030"
"22.06","123456000031"
"10.24","123456000061"
"11.71","123456000064"
"22.19","123456000112"
"29.57","123456000165"
"22.19","123456000167"
"24.64","123456000168"
"12.09","123456000169"
"18.48","123456000181"
"8.02","123456000183"
"8.02","123456000185"
"8.02","123456000220"
"14.790000000000001","123456000235"
"14.790000000000001","123456000236"
"14.790000000000001","123456000237"
"14.790000000000001","123456000238"
"14.790000000000001","123456000243"
"23.41","123456000263"
"24.64","123456000264"
"8.02","123456000556"
"16.03","123456000569"
"35.730000000000004","123456000632"
"60.370000000000005","123456000633"
"97.33","123456000634"
"23.41","123456000635"
"23.41","123456000636"
"23.41","123456000637"
"1.11","123456000638"
"1.85","123456000639"
"2.35","123456000640"
"1.85","123456000641"
"3.34","123456000642"
"3.34","123456000643"
"2.1","123456000644"
"1.85","123456000646"
"1.85","123456000647"
"3.42","123456000652"
"8.14","123456000657"
"4.44","123456000687"
"4.44","123456000690"
"17.26","123456000691"
"17.26","123456000692"
"17.26","123456000693"
"11.6","123456000698"
"4.6000000000000005","123456000704"
"3.7","123456000888"
"8.63","123456000901"
"8.02","123456000902"
"6.78","123456000903"
"5.55","123456000904"
"4.69","123456000905"
"4.33","123456000906"
"3.1","123456000909"
"43.44","123456001001"
"105.34","123456001002"
"28.97","123456001003"
"1.11","1234560099"
"2.35","1234560106"
"9.26","1234560107"
"9.26","1234560108"
"9.26","1234560109"
"9.26","1234560111"
"9.26","1234560115"
"9.26","1234560116"
"9.26","1234560117"
"6.04","1234560159"
"4.82","1234560165"
"23.91","123456700104"
"23.91","123456700105"
"6.04","123456700115"
"6.04","123456700116"
"5.55","123456700119"
"4.33","123456700122"
"4.33","123456700123"
"4.33","123456700124"
"6.78","123456700125"
"5.55","123456700126"
"1.85","123456700127"
"1.85","123456700128"
"1.85","123456700129"
"11.71","123456700130"
"10.48","123456700131"
"9.26","123456700132"
"8.02","123456700133"
"6.78","123456700134"
"6.78","123456700135"
"6.78","123456700136"
"14.68","123456700151"
"14.05","123456700152"
"12.69","123456700153"
"11.96","123456700154"
"10.35","123456700155"
"10.35","123456700156"
"10.35","123456700157"
"10.35","123456700158"
"10.35","123456700159"
"10.35","123456700160"
"10.35","123456700161"
"10.35","123456700162"
"10.35","123456700163"
"10.35","123456700164"
"1.85","123456700174"
"1.85","123456700185"
"2.35","123456700191"
"11.71","123456700199"
"5.8","123456700229"
"1.85","123456700232"
"1.85","123456700233"
"1.85","123456700234"
"1.85","123456700235"
"1.85","123456700237"
"7.03","123456700246"
"7.2700000000000005","123456700271"
"7.7700000000000005","123456700272"
"8.38","123456700273"
"9.5","123456700274"
"10.72","123456700275"
"3.59","123456700276"
"3.84","123456700277"
"4.08","123456700278"
"4.33","123456700279"
"4.57","123456700280"
"11.46","123456700281"
"1.11","123456700289"
"4.19","123456700293"
"36.84","123456700297"
"1.74","123456700298"
"5.68","123456700303"
"5.68","123456700304"
"5.68","123456700305"
"5.68","123456700306"
"3.7","123456700307"
"52.36","123456700308"
"110.88","123456700309"
"74.82000000000001","123456700326"
"74.82000000000001","123456700327"
"4.44","123456700329"
"4.44","123456700330"
"4.44","123456700331"
"1.12","123456700335"
"2.8000000000000003","123456700336"
"1.68","123456700337"
"3.92","123456700338"
"9.52","123456700339"
"7.17","123456700340"
"1.4000000000000001","123456700341"
"3.92","123456700342"
"2.13","123456700345"
"1.01","123456700346"
"1.85","123456700347"
"7.23","123456700348"
"7.23","123456700349"
"7.23","123456700350"
"7.23","123456700352"
"7.23","123456700353"
"7.23","123456700354"
"7.23","123456700356"
"50.24","123456700358"
"6.16","123456700365"
"2.35","123456789000"
"1.0","131415"
"15.64","18065981745"
"2.1","2000000442464"
"329.0","20221227D10133"
"3.96","22517443057"
